[2025-03-06 14:17:19,257][inference.model_runners][INFO] - Reading checkpoint from RFDiffusionAA_paper_weights.pt
[2025-03-06 14:17:45,438][inference.model_runners][INFO] - Loading checkpoint.
[2025-03-06 14:17:45,810][diffusion][INFO] - No IGSO3 cache found at /home/freitas/workspace/Ribbon-Containers/containers/RFDiffusionAA/25.3.2/rf_diffusion_all_atom/cached_schedules/T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2025-03-06 14:17:45,810][diffusion][INFO] - Calculating IGSO3.
[2025-03-06 14:18:55,956][__main__][INFO] - Making design samples/design_0
[2025-03-06 14:18:55,956][__main__][INFO] - making design 0 of 0:1
[2025-03-06 14:18:55,956][inference.model_runners][INFO] - Using contig: ['150-150']
[2025-03-06 14:21:39,134][inference.model_runners][INFO] - 14:21:39: Timestep 148, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:40,890][inference.model_runners][INFO] - 14:21:40: Timestep 147, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:42,593][inference.model_runners][INFO] - 14:21:42: Timestep 146, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:44,380][inference.model_runners][INFO] - 14:21:44: Timestep 145, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:46,158][inference.model_runners][INFO] - 14:21:46: Timestep 144, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:47,878][inference.model_runners][INFO] - 14:21:47: Timestep 143, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:49,654][inference.model_runners][INFO] - 14:21:49: Timestep 142, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:51,402][inference.model_runners][INFO] - 14:21:51: Timestep 141, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:53,174][inference.model_runners][INFO] - 14:21:53: Timestep 140, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:54,946][inference.model_runners][INFO] - 14:21:54: Timestep 139, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
